t_ms,ohm_Thumb,ohm_Index,ohm_Middle,ohm_Ring,ohm_Little,ema_Thumb,ema_Index,ema_Middle,ema_Ring,ema_Little,label
5172629,23.5,23.5,23.884615,23.755101999999997,21.311061000000002,23.942846825164594,24.110091495415027,24.08834423217687,23.89759770933032,21.8548523285449,Sorry
5172729,22.07143,21.959717,21.739437000000002,21.523256,19.386076,23.474992618873443,23.57249787156127,23.50111742413265,23.304012281997743,21.237658246408678,Sorry
5172829,21.0,21.10274,21.0,20.898191,19.386076,22.856244464155083,22.955058403670954,22.87583806809949,22.702556961498306,20.774762684806507,Sorry
5172929,21.311061000000002,21.523256,21.416666,21.849057000000002,19.836206999999998,22.46994859811631,22.597107802753214,22.511045051074618,22.48918197112373,20.540123763604882,Sorry
5173029,23.626904,23.626904,23.884615,24.015463,21.959717,22.759187448587234,22.85455685206491,22.854437538305962,22.8707522283428,20.89502207270366,Sorry
5173129,25.549182000000002,25.848066,25.402174,25.549182000000002,23.126865000000002,23.456686086440428,23.60293413904868,23.491371653729473,23.5403596712571,21.452982804527746,Sorry
5173229,25.549182000000002,25.697803,25.402174,25.256756000000003,22.884236,23.97981006483032,24.12665135428651,23.969072240297105,23.969458753442822,21.81079610339581,Sorry
5173329,24.552633,24.690476999999998,24.41623,24.147668000000003,21.630842,24.123015798622742,24.26760776571488,24.080861680222828,24.014011065082116,21.76580757754686,Sorry
5173429,22.529127,22.764706999999998,22.413043000000002,22.298078,20.210527,23.724543598967056,23.89188257428616,23.663907010167122,23.585027798811588,21.376987433160142,Sorry
5173529,21.311061000000002,21.416666,21.311061000000002,21.0,19.211297,23.12117294922529,23.27307843071462,23.07569550762534,22.938770849108693,20.835564824870108,Sorry
5173629,20.598213,20.898191,20.797299,20.697309,19.03942,22.490432961918966,22.679356573035964,22.506096380719004,22.37840538683152,20.386528618652584,Sorry
5173729,22.184210999999998,22.184210999999998,22.184210999999998,22.764706999999998,20.598213,22.41387747143922,22.55557017977697,22.425625035539255,22.47498079012364,20.43944971398944,Sorry
5173829,24.41623,24.829789,24.41623,24.690476999999998,22.529127,22.914465603579416,23.12412488483273,22.92327627665444,23.028854842592732,20.96186903549208,Sorry
5173929,25.256756000000003,25.549182000000002,25.112904,24.829789,22.529127,23.500038202684564,23.73038916362455,23.470683207490833,23.47908838194455,21.353683526619058,Sorry
5174029,24.829789,24.970588,24.829789,24.41623,22.298078,23.832475902013424,24.04043887271841,23.810459655618125,23.713373786458412,21.589782144964296,Sorry
5174129,24.41623,24.552633,24.28125,23.626904,21.206422,23.978414426510067,24.16848740453881,23.928157241713592,23.691756339843806,21.493942108723225,Sorry
5174229,22.298078,22.413043000000002,22.298078,22.07143,20.021738000000003,23.55833031988255,23.729626303404107,23.520637431285195,23.286674754882853,21.12589108154242,Sorry
5174329,21.849057000000002,21.959717,21.739437000000002,21.630842,19.836206999999998,23.131011989911915,23.28714897755308,23.0753373234639,22.87271656616214,20.803470061156816,Sorry
5174429,22.884236,23.25,23.374371,23.755101999999997,21.523256,23.069317992433938,23.277861733164812,23.150095742597923,23.093312924621603,20.983416545867613,Sorry
5174529,25.402174,25.697803,25.256756000000003,25.256756000000003,22.884236,23.652531994325454,23.88284704987361,23.676760806948444,23.634173693466202,21.45862140940071,Sorry
5174629,25.402174,25.848066,25.549182000000002,25.402174,22.884236,24.08994249574409,24.374151787405207,24.144866105211335,24.07617377009965,21.815025057050534,Sorry
5174729,24.552633,24.552633,24.28125,24.690476999999998,22.646342,24.20561512180807,24.418772090553905,24.1789620789085,24.22974957757474,22.0228542927879,Sorry
5174829,24.147668000000003,24.147668000000003,23.884615,23.884615,21.311061000000002,24.191128341356055,24.350996067915432,24.105375309181376,24.143465933181055,21.844905969590926,Sorry
5174929,23.126865000000002,23.884615,23.755101999999997,23.25,20.5,23.925062506017042,24.234400800936573,24.017806981886032,23.92009944988579,21.508679477193194,Sorry
5175029,22.07143,22.184210999999998,21.959717,21.739437000000002,19.744635,23.46165437951278,23.721853350702432,23.503284486414525,23.374933837414346,21.067668357894895,Sorry
5175129,21.959717,22.184210999999998,22.07143,22.413043000000002,20.697309,23.086170034634584,23.33744276302682,23.14532086481089,23.13446112806076,20.97507851842117,Sorry
5175229,22.884236,23.755101999999997,23.884615,24.28125,22.413043000000002,23.035686525975937,23.441857572270116,23.33014439860817,23.42115834604557,21.33456963881588,Sorry
5175329,25.549182000000002,25.848066,26.0,25.697803,23.626904,23.664060394481954,24.043409679202586,23.997608298956127,23.990319509534174,21.907653229111908,Sorry
5175429,25.848066,25.848066,26.0,25.549182000000002,23.5,24.210061795861467,24.49457375940194,24.498206224217096,24.38003513215063,22.305739921833933,Sorry
5175529,24.690476999999998,25.112904,25.112904,24.690476999999998,22.646342,24.3301655968961,24.649156319551455,24.65188066816282,24.457645599112976,22.39089044137545,Sorry
5175629,23.626904,23.755101999999997,23.5,23.374371,21.311061000000002,24.154350197672073,24.42564273966359,24.363910501122117,24.18682694933473,22.120933081031588,Sorry
5175729,22.413043000000002,22.646342,22.529127,22.413043000000002,20.402654,23.719023398254055,23.980817554747695,23.905214625841587,23.743380962001048,21.691363310773692,Sorry
5175829,21.416666,21.206422,21.0,21.10274,19.29832,23.143434048690544,23.287218666060774,23.178910969381192,23.083220721500783,21.09310248308027,Sorry
5175929,21.311061000000002,21.849057000000002,21.739437000000002,22.413043000000002,20.697309,22.685340786517905,22.927678249545583,22.819042477035893,22.91567629112559,20.994154112310202,Sorry
5176029,24.970588,24.829789,25.402174,25.848066,23.5,23.256652589888425,23.40320593715919,23.46482535777692,23.64877371834419,21.620615584232652,Sorry
5176129,26.625,26.948275000000002,26.948275000000002,26.466102,24.28125,24.098739442416317,24.289473202869395,24.33568776833269,24.353105788758143,22.28577418817449,Sorry
5176229,25.848066,26.0,25.848066,25.848066,23.374371,24.53607108181224,24.717104902152045,24.713782326249518,24.726845841568608,22.557923391130867,Sorry
5176329,24.829789,25.112904,25.112904,24.970588,22.764706999999998,24.60950056135918,24.816054676614034,24.81356274468714,24.78778138117646,22.60961929334815,Sorry
5176429,24.147668000000003,24.28125,24.41623,23.755101999999997,21.959717,24.494042421019387,24.682353507460526,24.714229558515353,24.529611535882342,22.447143720011113,Sorry
5176529,23.25,23.626904,23.374371,23.004951000000002,20.898191,24.18303181576454,24.418491130595392,24.379264918886513,24.14844640191176,22.059905540008334,Sorry
5176629,22.184210999999998,22.298078,22.07143,22.298078,20.021738000000003,23.683326611823404,23.888387847946547,23.80230618916488,23.68585430143382,21.55036365500625,Sorry
5176729,22.184210999999998,22.413043000000002,22.413043000000002,22.298078,20.306168000000003,23.30854770886755,23.51955163595991,23.45499039187366,23.338910226075367,21.239314741254688,Sorry
5176829,24.015463,24.147668000000003,24.41623,24.015463,21.959717,23.485276531650662,23.67658072696993,23.695300293905245,23.508048419556523,21.419415305941016,Sorry
5176929,23.884615,23.884615,23.884615,24.015463,21.630842,23.585111148737994,23.728589295227447,23.74262897042893,23.63490206466739,21.472271979455762,Sorry
5177029,23.5,23.755101999999997,23.374371,23.626904,21.311061000000002,23.563833361553495,23.735217471420583,23.650564477821696,23.632902548500542,21.43196923459182,Sorry
5177129,23.25,23.126865000000002,23.004951000000002,22.529127,20.402654,23.485375021165122,23.58312935356544,23.489161108366275,23.35695866137541,21.174640425943863,Sorry
5177229,22.646342,22.884236,22.764706999999998,23.004951000000002,21.0,23.275616765873842,23.40840601517408,23.308047581274707,23.268956746031556,21.130980319457898,Sorry
5177329,22.07143,22.07143,21.849057000000002,21.959717,19.836206999999998,22.974570074405378,23.074162011380558,22.94329993595603,22.941646809523665,20.807286989593422,Sorry
5177429,21.959717,22.413043000000002,22.298078,22.413043000000002,20.306168000000003,22.720856805804033,22.908882258535417,22.781994451967023,22.80949585714275,20.682007242195066,Sorry
5177529,23.126865000000002,23.5,23.25,23.374371,21.10274,22.822358854353027,23.056661693901564,22.898995838975267,22.95071464285706,20.787190431646298,Sorry
5177629,23.5,23.626904,23.5,23.5,21.311061000000002,22.99176914076477,23.199222270426173,23.04924687923145,23.088035982142795,20.918158073734723,Sorry
5177729,23.25,23.374371,23.374371,23.126865000000002,21.0,23.056326855573577,23.243009452819628,23.130527909423588,23.097743236607094,20.93861855530104,Sorry
5177829,22.298078,22.646342,22.646342,22.764706999999998,20.306168000000003,22.866764641680184,23.093842589614724,23.00948143206769,23.01448417745532,20.780505916475782,Sorry
5177929,22.07143,22.184210999999998,21.523256,21.630842,19.653846,22.667930981260135,22.866434692211044,22.63792507405077,22.66857363309149,20.49884093735684,Sorry
5178029,20.797299,21.0,20.797299,20.697309,18.870371,22.2002729859451,22.399826019158283,22.177768555538076,22.17575747481862,20.09172345301763,Sorry
