t_ms,raw_Thumb,raw_Index,raw_Middle,raw_Ring,raw_Little,ema_Thumb,ema_Index,ema_Middle,ema_Ring,ema_Little,label
577637,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156,33.359156,33.359156,33.359156,33.359156,stop
577737,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156,33.359156,33.359156,33.359156,33.359156,stop
577837,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156,33.359156,33.359156,33.359156,33.359156,stop
577937,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156,33.359156,33.359156,33.359156,33.359156,stop
578037,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156,33.359156,33.359156,33.359156,33.359156,stop
578137,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156,33.359156,33.359156,33.359156,33.359156,stop
578237,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156,33.359156,33.359156,33.359156,33.359156,stop
578337,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156,33.359156,33.359156,33.359156,33.359156,stop
578437,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156,33.359156,33.359156,33.359156,33.359156,stop
578537,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,30.642857,33.359156,33.359156,33.359156,33.359156,32.8158962,stop
578637,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156,33.359156,33.359156,33.359156,32.92454816,stop
578737,23.374371,30.028662,32.875,29.632076,17.321293,31.362199,32.6930572,33.2623248,32.61374,29.803897128000003,stop
578837,15.222973,18.142857,18.221115,15.279661,8.89916,28.134353800000003,29.78301716,30.25408284,29.1469242,25.622949702400003,stop
578937,10.514563,10.514563,12.889535,11.664894,7.123693,24.610395640000004,25.929326328,26.781173272000004,25.65051816,21.923098361920005,stop
579037,10.875,10.427711,12.847825,10.399039,6.833333,21.863316512000004,22.8290032624,23.994503617600007,22.600222328000005,18.905145289536,stop
579137,9.031915,8.5,10.84414,9.260869,6.022797,19.297036209600005,19.96320260992,21.36443089408001,19.9323516624,16.3286756316288,stop
579237,8.186889,7.717877,10.25772,9.031915,5.92129,17.075006767680005,17.514137487936,19.143088715264007,17.752264329920003,14.24719850530304,stop
579337,8.074468,7.666667,9.879311,8.706185999999999,5.844214,15.274899014144005,15.5446433903488,17.290333172211206,15.943048663936004,12.566601604242434,stop
579437,7.964627,8.965116,11.560687,10.092506,6.947099000000001,13.812844611315205,14.228737912279042,16.144403937768967,14.772940131148804,11.442701083393947,stop
579537,9.145161,9.099571,11.526315,10.092506,6.8193280000000005,12.879307889052164,13.202904529823234,15.220786150215174,13.836853304919044,10.51802646671516,stop
579637,9.191145,9.031915,11.560687,10.25772,6.889831,12.141675311241732,12.36870662385859,14.48876632017214,13.121026643935236,9.792387373372128,stop
579737,8.520243,8.459759,11.192308,10.399039,7.752336000000001,11.417388848993388,11.586917099086872,13.829474656137712,12.57662911514819,9.384377098697705,stop
579837,14.365385,16.115659,20.697309,18.786885,13.188428,12.00698807919471,12.4926654792695,15.20304152491017,13.818680292118552,10.145187278958163,stop
579937,30.028662,33.359156000000006,33.359156000000006,33.359156000000006,33.115387000000005,15.611322863355769,16.665963583415603,18.83426441992814,17.726775433694844,14.739227223166532,stop
580037,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,19.160889490684617,20.004602066732485,21.73924273594251,20.853251546955875,18.463212978533228,stop
580137,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,22.000542792547694,22.67551285338599,24.063225388754013,23.354432437564704,21.442401582826584,stop
580237,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,24.27226543403816,24.812241482708792,25.92241151100321,25.35537715005177,23.82575246626127,stop
580337,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,26.08964354723053,26.521624386167034,27.40976040880257,26.956132920041412,25.73243317300902,stop
580437,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,27.543546037784424,27.889130708933628,28.599639527042054,28.236737536033132,27.25777773840722,stop
580537,30.435484,28.5,33.359156000000006,32.404109,17.911763999999998,28.12193363022754,28.011304567146905,29.55154282163365,29.07021182882651,25.388574990725775,stop
580637,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,21.630842,29.169378104182037,29.080874853717525,30.31306545730692,29.928000663061212,24.63702839258062,stop
580737,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,30.007333683345635,29.93653108297402,30.92228356584554,30.61423173044897,26.3814539140645,stop
580837,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,30.677698146676512,30.621056066379214,31.40965805267643,31.163216584359176,27.7769943312516,stop
580937,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,31.213989717341217,31.168676053103376,31.799557642141153,31.602404467487347,28.89342666500129,stop
581037,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,31.643022973872977,31.606772042482703,32.111477313712925,31.95375477398988,29.78657253200103,stop
581137,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,29.632076,31.986249579098384,31.957248833986164,32.36101305097034,32.234835019191905,29.755673225600827,stop
581237,16.305754999999998,21.416666,21.523256,18.870371,14.729509,28.85015066327871,29.849132267188935,30.193461640776277,29.561942215353525,26.750440380480665,stop
581337,10.875,11.664894,14.890729,12.683381,9.598654,25.25512053062297,26.212284613751148,27.132915112621024,26.18622997228282,23.320083104384533,stop
581437,5.432773,6.42,8.167969,6.918368,5.5613410000000005,21.290651024498377,22.25382769100092,23.339925890096826,22.33265757782626,19.768334683507625,stop
581537,6.42,6.307571,8.560976,7.857278,6.198289,18.3165208195987,19.064576352800735,20.384135912077458,19.43758166226101,17.0543255468061,stop
581637,5.375,5.9548190000000005,7.982758,7.386894,5.481663999999999,15.72821665567896,16.442624882240587,17.903860329661967,17.02744412980881,14.739793237444882,stop
581737,5.299451,5.988653,8.074468,7.292185000000001,5.153226,13.64246352454317,14.35183050579247,15.937981863729574,15.080392303847049,12.822479789955906,stop
581837,5.135389,5.471831,6.904075,6.382166,4.838028,11.941048619634536,12.575830604633977,14.13120049098366,13.34074704307764,11.225589431964726,stop
581937,5.234694,5.877049,8.360558000000001,7.292185000000001,4.8543,10.599777695707628,11.236074283707184,12.97707199278693,12.131034634462113,9.95133154557178,stop
582037,5.877049,7.230159,9.724489,9.009555,6.961537999999999,9.655231956566103,10.434891226965746,12.326555394229544,11.506738707569692,9.353372836457426,stop
582137,18.459678,22.184211,32.875,32.404109,27.27907,11.416121165252884,12.784755181572596,16.436244315383636,15.686212766055752,12.93851226916594,stop
582237,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,15.804728132202309,16.899635345258076,19.820826652306913,19.220801412844605,17.022641015332752,stop
582337,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,33.359156000000006,19.315613705761848,20.191539476206465,22.528492521845532,22.04847233027569,20.289944012266204,stop
